user,text
e*****8,"Kualitas Suara: jernih pake banget
Daya Tahan: kyaknya bakal awet
Fitur: bagus
Cocok banget buat maen game . Suaranya No Delayy2. Udah coba bbrpa kali ganti merk tws , tp ini sihh yg paling mantappp 🤩"
,"Kualitas Suara: bass sebagai nilai jual
Daya Tahan: belum diuji sama jogging sih
Kualitas: kualitas setara dengan harga
Emang buat kaum kere hore seperti saya ini termasuk yang bagus. Ada aplikasinya dan untuk LDAC nya juga jadi kualitas diharga tersebut (saya beli diharga 250k) sangat worth to buy. Untuk menaikkan kualitas suara di aplikasi ada equalizer tapi kurang membantu ya, jadi emang harus agak ribet dengan install aplikasi wavelet yang bisa disesuaikan oleh telingamu. Dan tara, menjadi setara tws seharaga sejutaan. Emang nilai jual tws ini di LDAC dan adaptive ANC. Adaptive ANC lumayan over claim, karena diklaim bisa -50db. Menurut saya ini cuman -20db saat membandingkan dengan tws teman saya yang seharga 800rb dengan ANC -40db. Cuman beda setengahnya..."
,"Kualitas Suara: ngebass bgt dung dung dung
Daya Tahan: dipakai 3 hari batrai belum minta charge, pdhal pemakaian lumayan lama
Fitur: bagus simple menarik
Fitur anc by baseus ga perlu diragukan, bagus pol kedap suara juga.. Untuk konek ke bluetooth juga sat set wat wet bgt. Udah berkali2 order pasti order lagi karena pada nanyain wkwkwk"
r*****n,"Kualitas Suara: Jernih & Gacor
Daya Tahan: 1 Minggu Lebih
Kualitas: Gacor parah
Overall selama 1 minggu pemakaian Aman & Baik Baik Zaja, Sound Quality Oke, Tidak disarakan Menggunakan Custom Eq/Preset pada aplikasi, ANC juga Sangat kedap -50DB tidak gimick"
d*****1,"Kualitas Suara: mantap
Daya Tahan: tahan lama
Kualitas: bagus sekali
bagus banget. kualitasnya bagus. baterainya juga tahan kali ini udah berapa hari pake belom ada charger dan kenek ke bluetooth nya juga gampang ga ribet sama sekali. ke aplikasi juga gaada kendala. semuanya bagus. kualitas suaranya bagus dan nyaman juga di telinga ga bikin sakit. bisa di atur juga dari aplikasi untuk fitur-fiturnya. sejauh ini pemakaian suka pol."
,"Kualitas Suara: bass nya mantep sih
Daya Tahan: untuk batre lumayan tahan lama juga jadi gk sering charge
Fitur: sudah full canggih dengan banyak fitur
rekomended buat para gamer ... suaranya mantep bisa kedap bgt dan anti delay² pas in game"
,"Kualitas Suara: jernih
Daya Tahan: handal dan tahan lam
Fitur: bagus dan berguna
Suaranya jernih, bassnya nendang cuii!!
model simple dan ga makan tempat.
Bagussss banget tws baseus ini sudah support LDAC jadi kualitas suaranya lebih bagus dari tws lainnya yg belum support."
,"Kualitas Suara: Sesuai claim
Daya Tahan: Semoga awet berharihari
Kualitas: Bintang 5
Dapat free pouch bagus banget 😭😭😭
Süper bass, NFC oke banget. Dengan harga segini tapi berasa pakai tws sejutaan itu tuh nampol banget. Stickernya juga lucukkkk ✨👍"
,"Kualitas Suara: suaranya sangat bagus
Daya Tahan: tahan lama dipakainya
Fitur: bagus
Beli saat ada diskon, tws nya suara bass nya bagus karena sudah support LDAC jadi suaranya jelas lebih bagus dr tws lain yang  belum support. Pokoknya rekomen banget tws ini, harganya juga ga bikin kantong menangis. Thx seller"
,"Kualitas Suara: Bass nya sangat jedag jedug
Daya Tahan: Batre tahan lama awet pokonya
Fitur: sangat banyak
Packing nya aman banget pake bubble wrap jadi aman
untuk kualitas juara sih ini udah ada fitur ancnya
Batre nya juga awett suara nya jedag jedug menggelegar recommended to buy sih ini jgn ragu belanja di toko ini"
i*****8,"Kualitas Suara: bagus jernih
Daya Tahan: tahan lama
Fitur: gokil pokoknya bagus banget
Suaranya super jernih, di pake buat ngegame jg ga pernah delay sama sekali suaranya, batrenya juga ok banget deh tahan lamaaa, bener bener mantep dah dengan harga segitu udah punya fitur yg gokil parah.. Recommended banget deh tws ini..."
d*****e,"Kualitas Suara: bass, mid, high mantap
Daya Tahan: belum teruji
Fitur: melimpah
Sound nya awesom, bassnya asik, high tidak sakit ditelinga, suara vocal jelas tidak tenggelam 
Sangat rekomended 
Harga bersahabat tapi specnya melampaui harganya, bisa atur di appnya"
f*****f,"Kualitas Suara: Oke
Daya Tahan: Tahan
Kualitas: Terbaik dengan harga terjangkau
Untuk gamers dan pecinta musik bisa jadi pilihan di era rivalnya, namun disarankan untuk tidak volume terlalu up karena terlalu kuat, volume sedang saja udah sangat kuat. Semoga bisa tahan lama"
,"Fitur Terbaik: LDAC dan ANC
Sepadan dengan Harga: sepadan
warna putihnya oke, dipakai buat meeting jernih suaranya ,pas dicek ternyata udah ada LDAC nya,kedap suara juga ternyata,dipake buat dengerin lagu juga bassnya mantep,ga nyesel si dapat harga terjangkau tp kualitas oke"
,"Kualitas Suara: suara ngebass
Daya Tahan: awet
Fitur: nyaman di telinga
Pengemasan rapi jadi aman, respon penjual cepat, bentuk nya unik, nyaman d telinga gak bikin sakit,sudah support LDAC jadi kualitas suara nya lebih bagus dr yg lainnya yang belum suport."
,"Kualitas Suara: suaranya jernih dan bagus
Daya Tahan: baterainya tahan lama
Fitur: banyak dan berguna
Pengiriman cepat, packing aman banget!
TWS-nya keren, suara jernih, bass-nya nendang, cocok buat dengerin musik atau nonton film. Fitur-fitur banyak juga dan baterainya tahan lama sudah support app pula pokoknya the best . Dapat pouch pink yang lucu dan stiker juga, jadi makin puas!
Desainnya elegan dan ringan, nyaman dipakai lama. Pokoknya nggak nyesel beli! Recommended banget! 💯🔥"
z*****p,"Kualitas Suara: baguss
Daya Tahan: baguss
Kualitas: baguss
Ya ampun sumpah deh ini tws pertamaku dr baseus puas bgtttyyy. Ihh suaranya mantep, bisa di bikin noise bisa normal. Udh gitu bassnya mantap...bisa di custom juga sesui selera. Ih bagus banget lohhh ga nyesel. Beli pas 6.6 dapet harga lumayan miringg"
a*****5,"Kualitas Suara: jernih dan jelas
Daya Tahan: Ok soh
Kualitas: nyaman dipakai
Pas dipakai pria atau wanita, istri saya suka, enc nya juga lumayan ok, seusai dgn review di google, cukup silent dan best produk di harga segitu dehhhh"
l*****s,"Kualitas Suara: suara kreen bgt dah recommend
Daya Tahan: belum tau karena masih baru
Kualitas: bagus dan memuaskan
Sudah dicoba semua genre, bass, aac dll worth it banget dengan harga segini."
,"TWS ini benar-benar bikin betah. Fitur ANC/kedap suara-nya itu lho, mantap banget! Jadi, pas di kereta atau lagi di tempat rame, bisa fokus dengerin lagu tanpa gangguan. Buat teleponan juga suaranya jelas/jernih banget, kayak ngobrol langsung. Udah gitu, harganya terjangkau pula. Pokoknya worth it deh buat yang pengen kuping tenang.🤩"
z*****h,"Kualitas Suara: suara sangat jernih
Daya Tahan: tahan lama dan baik
Kualitas: sangat bagus, baik dan nyaman di telinga
Jernih dan enak banget saat di gunakan, sepadan dgn harga yg di pasarkan. Salah satu TWS yg menurut saya recomended banget ni, apa lg udah ada fitu anc nya. Bener² senyap banget saat di berada di area kebisingan..
Thanks seller, thanks shoppe. 👍👍"
,"Kualitas Suara: oke
Daya Tahan: oke
Fitur: oke
wihhh tws nya udah 6.0 ternyata.. jadi auto connect bluetooth kalau dibuka.. kerenn abis mantull👌"
,"Kualitas Suara: mantaaapp polll sesuai apa yang di i formasikan  ANC nya ngaruhhh
Daya Tahan: belum bisa buktiin untuk daya tahan nya
Kualitas: mewah si kaya under diatas 1jt an karena udh punya fitur dan berani klaim garansi tanpa syarat apapun, jujur berani banget toko nya plus kereennn"
,"Kualitas Suara: jernih dan memuaskan
Daya Tahan: cukup awet dan tahan lama
Kualitas: barang dengan kualitas terbaik
Mevvah guysss recommended pokoknya suara adjustable,kulitas okke seller juga gercep barang dikasih bubble wrap banyak jadi barang dijamin aman tooopp"
f*****5,"Kualitas Suara: great
Daya Tahan: good
Kualitas: great at its classes
Realpic as per description, good build quality, sounds very good at the price range, all feature work well, anc worth the price, overall worth the money, fast respons seller, fast delivery, safe packed, recommended products and seller."
,"Kualitas Suara: bagus ngebasss banget
Daya Tahan: pasti kuat oriii
Fitur: bagus berguna bgt pkoknya
Aku puas banget pkoknya enak dipakai ngebas banget, simple dibawa dipake kmnapun pkoknya recomenddddd😍😍😍😍"
k*****i,"Kualitas Suara: jernih
Daya Tahan: semoga tahan lama dan handal
Kualitas: bagus
Terimakasih Tim Baseus, TWS sudah sampai dan sesuai dengan pesanan.  
Semoga awet dan suaranya tetap jernih."
,Plisss ini rekomen bgt buat dipake daily apalagi buat aku yang sering rapat via online. ANC nya bisa bikin suara sekitar langsung kedap gitu meski lagi ditempat umum. Penggunaan yg super simple dan harga terjangkau😍😍
d*****i,"Kualitas Suara: SUARA MANTAPPPP JOOSSS
Daya Tahan: DAYA TAHAN BAGUS JOOSS
Kualitas: KUALITAS MANTAP JOOS
SANGAT REKOMENDASI UNTUK KUALITAS BAGUS DAN BATERY TAHAN LAMA.
BOLEH SANGAT DIREKOMENDASI UNTUK YANG MENCARI KUALITAS DAN BATERY OK DAN JUARA."
,"Kualitas Suara: bagus
Daya Tahan: Semoga awet
Kualitas: mantap
Suaranya jelas, bassnya mantap. ANCnya berfungsi.
Semoga saja awet dalam jangka panjang dan ga perlu klaim garansi. Mantap lah. 👍👍👍"
,"Kualitas Suara: jernih dan memuaskan
Daya Tahan: tahan lama sesuai ekspektasi
Kualitas: terbaik di kelas harganya
Sangat memuaskan barang bagus dan premium, pengiriman cepat, dan respon toko sangat bagus pokok nya sangat recomended"
,"Kualitas Suara: sangat jernih
Daya Tahan: tahan lama
Kualitas: bagus
Beli saat ada diskon.                                                            
Baseus BP1 Pro TWS nya suara bass nya bagus karena sudah support LDAC jadi kualitas suaranya jelas dan jernih lebih bagus dr tws lain yang belum support.
Recommended banget"
h*****a,"Kualitas Suara: jernih
Daya Tahan: oke
Kualitas: bagus
Cepet banget pengirimannya. Earbuds ini bagus kalo menurutku buat harga dibawah 300rb. Udah dicoba, bisa multipairing ke 2 device, ada beberapa pilhan mode ambiance, suaranya juga jernih dan bisa diatur juga settingan earbuds nya pake apps. Worth to buy kalo menurutku."
,"bener2 worth it. harganya murce tapi kualitas suaranya ga kaleng2. trs fiturnya lumayan lengkap sih, ada ANC dan touch control nya jg responsif no delay juga buat ngegame pokoknya the best❤"
,"Kualitas Suara: sangat jernih
Daya Tahan: tahan lama dan mantap
Fitur: bagus dan berguna
Bagus banget produk nya, pengirimannya juga sat set, fiturnya udah canggih banget. Thx seller"
,"Kualitas Suara: jernih
Daya Tahan: tahan lama
Fitur: banyak dan bagus
tws dengan harga 300 an wort it lah dengan berbagai fitur yang bagus. tapi yang paling gong udah ada fitur anc nya,jadi kalo lagi dngerin musik suarnya aman gak pecah keluar and jaga privasi juga lagi kalo lagi telpon."
,"Kualitas Suara: jernih bgt
Daya Tahan: tahan lama
Fitur: bagusss
Wiih keren banget tws nya, ini pas aku aktifin anc nya suara sekitar nya langsung kedap dong, mantul gak nyesel beli tws ini, sesuai ekspektasi aku nih thx seller"
,"Kualitas Suara: jernih
Daya Tahan: tahan lama
Fitur: bagus
Paketnya sudah sampai pengiriman cepat.  Pengemasan rapi buble tebal . Produk original sesuai diskripsi.  Ngebass suara jernih nyaman di telinga."
,"Kualitas Suara: GOKIL
Daya Tahan: tahan lama jamin
Kualitas: baguss
untuk suara gokil sih, anc nya juga kedap bgtt di bawa riding posisi knalpot brong juga kedap, harga semurah ini dengan spek sebagun ini gokil sih mantap Baseus, udh kesekian kali pake brand baseus"
v*****2,"Kualitas Suara: gila gokil, suaranya jernih banget
Daya Tahan: batrei nya awet bet anjir
Kualitas: harga segini parah bgt si ni earpods
gilaa speechless ama ni earpods, harga segini worth it pake bgt buat dibeli, suaranya tuh bener-bener yg jernih bgt trus aluss gitu loh, bass nya juga gokil bgt asli, suaranya jg bisa diatur pake aplikasi baseus, gila parah bismillah bakal awet bgt sih ni earpods, buruan co gaiss! 😭❤️‍🔥✨🙏🏻🥹🌺🌼🌹"
a*****4,"Kualitas Suara: suara nya mantap banget
Daya Tahan: tahan lama dan sangat mantap banget
Fitur: bagus dan sabgat berguna
bass nya mantap 
seller nya mantap
produk nya mantap"
,"Kualitas Suara: lumayan jernih
Daya Tahan: blm tau
Kualitas: lumayan bagus
Agak ribet settingan suara kalau mau ganti harus posisi tidak lagi tlp sehingga perbedaanya tidak bisa langsung di deteksi"
,"Kualitas Suara: jernih bangett + ngebas poll
Daya Tahan: belum tau yah krn baru sampe hehe
Fitur: bagus banget banget
Recomended guys ayo beliiii
Pengiriman ke Aceh lumayan cepet
Tks seller 🥰"
s*****2,"Kualitas Suara: Sangat bagus
Daya Tahan: semoga aja
Kualitas: Luar biasa
Gua sering kehilangan earphone wireless jadi langganan beli, kali ini coba beli yg agak mahal dan emang ngga sia sia, suaranya jernih, pakai di atas motor suara bising motor jadi musik juga, tadi coba denger lagu orkestra hampir keluar mani dikit"
,"Kualitas Suara: jernih
Daya Tahan: tahan lama
Fitur: bagus
berguna, sangat bermanfaat, suka dengan desainnya lucu , warna nya hitam bagus"
,"Fitur-fitur nya banyak juga dan baterainya tahan lama, saya sangat puas dengan TWS ini! Sudah support app, membuat saya dapat mengatur settingan sesuai kebutuhan."
,"Kualitas Suara: cukup
Daya Tahan: ok
Kualitas: semoga awet
terima kasih ya. produknya sudah diterima dengan baik. packingnya mantap.kurirnya oke.. semoga berkah n bermanfaat. berkah selalu buat seller dan kurir 🙏🙏🙏"
,"Kualitas Suara: bagus
Daya Tahan: baik
Fitur: lengkap
buat harga 300rb ini tu bagus bgt fitur2nya lengkap suaranya jernih dan udah kedap suara mantep bgt, buat nonton atau kerja enak bgt sih. pengiriman cpt seller ramah"
,"Kualitas Suara: sangat jernih, bagus
Daya Tahan: tahan lama dan awet
Fitur: bagus dan modern simple
Earphone TWS ini bener-bener top banget! Suaranya gak ada delay sama sekali, jadi aku bisa main game dan nonton TikTok dengan puas. Pengalaman hiburan aku jadi lebih seru dan sangat asik 🤩"
r*****m,"Fitur: bagus
Kualitas Suara: bagus jernih
Daya Tahan: tahan lama
Makasih seller packing rapih dan cepat.. Harga 300an sudah ada anc nya, gila gokil banget sih.. Udah gitu bagus banget suara nya jelas kalau buat telepon.. Fitur² banyak juga dan baterainya tahan lama sudah support  app pula pokoknya the best..
Apalagi kalau dipake buat main game no delay banget suaranya tws paling gokil... mantap sukses selalu"
,"Paketnya udah nyampe, Pas dicoba, dengerin musik jadi enak banget, suaranya jernih pol karena udah punya 6 mic. Baterainya juga awet, tahan lama banget. Dengan kualitas sebagus ini, harganya bener-bener terjangkau.seller nya juga ramah. THX U SELLER"
d*****p,"Kualitas Suara: Bass yang memuaskan
Daya Tahan: tahan lama
Fitur: bagus
Suaranya mantap! Udah support LDAC, jadi jelas lebih bagus dari TWS lain yang belum support. Pairing cepet dan dapet free pouch juga. Mantapp💯"
,"Kualitas Suara: bass yang memuaskan
Daya Tahan: tahan lama
Kualitas: sangat baik
wow gila bngt ada unsur anc nya jadi sudah kedap suara pokoknya the best banget"
,"Kualitas Suara: suaranya jernih
Daya Tahan: sangat handal
Fitur: Bagus
Thanks seller, packing cpt, rapi dan safty.. Bablewrap tebeeelll.. Barang di kirim sesuai deskripsii... Harga murah 300rb an aja sdh ada anc nya,  Sudah support LDAC jadi kualitas suaranya lbh bagus dari  tws lainnya yang belum suppot.. Kereen, buat kalian yg blm punya wajib belii di sini yaa di jamin barang original.."
,"Kualitas Suara: jernih bgt
Daya Tahan: blom tau,
Kualitas: premium
Jujur ini bagus bgt, dari material dan modelnya premium bgt saya suka, untuk suara jernih dan bass nya pun mantap, biasanya, saya kalo pake heandset kabel pas volume full, kuping pasti sakit dan kaya gresek2 gak nyaman, tpi ini luar biasa dari volume kecil sampe full nyaman adem di kuping, saya senang dgn produk ini keren sukses slalu, pengiriman juga cepat gak ada komplen smoga awet tanks."
,"Kualitas Suara: jernih enak utk musik, nonton dan main game
Daya Tahan: tahan lama
Kualitas: nyaman gk bikin sakit telinga
Mulai dari bahan sampai kualitas sangat-sangat bagus dan nyaman"
,"Kualitas Suara: baik ngebass parah
Daya Tahan: belum dicoba tapi sepertinya akan awet
Kualitas: sangat baik
bagus sekali diliar ekspektasi saya dengan berbagai macam fitur yang dihadirkan melalui aplikasi baseusnya, suaranya ngebass juga bisa di setting sesuai selera juga sangat bagus untuk racik racik sendiri"
,"Kualitas Suara: suara jernih dan bagus
Daya Tahan: tahan lama dan sangat handal
Kualitas: cukup jernih dan lumayan
Barang baik, pengemasan ok, ketahanan baterai lama kualitas the best"
i*****a,"Kualitas Suara: jernih bass
Daya Tahan: cukup lama
Kualitas: belum dicoba
Beli harga diskon 216k sangat terjangkau. Pengiriman 2 hari. Paket sesuai pesanan dan berfungsi dengan baik, dicas bisa, mudah konek, dan support app baseus, kualitas suara benar benat hi-res audio banget, untuk telpon dan jarak jangkauan belum dicoba."
,"Kualitas Suara: suara bagus
Daya Tahan: tahan lama
Kualitas: bagus banget, di pakai telfonan juga jelas suara, pakai aplikasinya mempermudah penggunaan, pengurang bisingnya juga oke, suka banget pokoknya dapet harga murah waktu co 9.9, cepat sampai juga"
m*****3,"Kualitas Suara: Suara bagus, bassnya okelah
Daya Tahan: Bisa tahan seharian, charge seminggu sekali
Kualitas: Bagus
Sejauh ini bagus responsif, modelnya oke, kualitas suara bagus bisa diatur anc nya lumayan"
,"Kualitas Suara: puas
Daya Tahan: lama
Kualitas: ok
Mksih kak, berfungsi dengan baik. Sesuai pesanan. Suara bass ok kak. Pas dapat promo lumayan harga murah. Toko amanah dan gercep. Mksih"
d*****a,"Kualitas Suara: jernih mantap
Daya Tahan: lama
Kualitas: superrr sekali
Sepertinya ini pembelian tws maupun earphone/headset terbaik ku
Mantap...
Bassnya
Hi res Audionya...
Puasss la pokoknya
Fitur ancnya juga joss gandosss"
m*****e,"Kualitas Suara: Bass dan Suara Dinamisnya luar biasa
Daya Tahan: Tahan lama dan bagus
Kualitas: Peredam bising bekerja dengan sangat baik
It's such a great Hi-Res buds! If you're looking for earbuds don't hesitate to buy this because it's affordable for its quality... It absolutely cancels out the noise that surrounds you, can't wait to try it out more! Thank you, Baseus."
,"Kualitas Suara: sangat jernih
Daya Tahan: sangat awet
Kualitas: sangat bagus
TWS Favorit ya Baseus. Selalu suka sama produknya Baseus, tidak pernah mengecewakan.

Pengiriman cepat, respon penjual sangat baik. Sangat recommended 👍👍👍"
,"Kualitas Suara: jernih dan bagus banget
Daya Tahan: tahan lama
Kualitas: sesuai dg apa yg diiklankan, bass oke, fitur anc enc nya juga sangat membantu. dengan harga yg murah sudah dapat kualitas yg top."
c*****7,"Kualitas Suara: Bersih dan jernih
Pengirimannya cepat, di packing dengan aman. Kualitas suara bersih dan jernih, bass nya nampol banget. Untuk baterai mudah2an awet krn belum coba ampe baterai abis. Kualitas ny bagus, mic ny juga jernih banget"
,"Kualitas Suara: beeghhh asli wenaaak
Daya Tahan: awet
Kualitas: jernih, jelas, jos
Dari dulu pengen punya baseus earbuds dan keturutas ama BP1pro..emank pro juara deh..dengerin musik berasa lihat konser langsung dan dibuat telpon sejelas itu suaranya..kek berasa emank cuman ngobrol ama yg ditelpon kayak bicara face to face..bravo seller..dan serius ini pengirimannya kilat 🥰🥰 besok2 mau beli prodak lain..klo tws beeghh ini deh juaranya"
,"Kualitas Suara: mantap
Daya Tahan: sangat tahan
Kualitas: bagus
bass nya berasa, enak dipakai.
noise silent nya juga ngk terlalu berlebihan.
overall bagus sih"
,"Kualitas Suara: sangat jernih
Daya Tahan: tahan lama
Kualitas: mewah dan berkualitas tinggi
Pertama kali coba langsung puas. Suara jernih, bass-nya cukup dalam, dan koneksinya cepat ke HP. Enak dipakai buat musik maupun nonton film dan delay-nya minim kalau dipakai main game kasual. Recommended"
,"Kualitas Suara: oke
Daya Tahan: handal
Fitur: bagus
Gilaaa sihh gausah diraguin lagi bagus banget tws nya, harga murmer udh ada unsur anc nya jd sudah kedap suara, nyaman ditelinga juga dan dpt free pouch gemess pinky"
,"Kualitas Suara: gud using default, even better if you find the right EQ
Daya Tahan: mayan
Kualitas: ntaps
Yaaa gud lah, gesture option juga lengkap, suara call jernih banget, untuk suara asal dapat eq yang pas, gud lah ga cempreng, and sounds good af"
,"Kualitas Suara: Jernih
Daya Tahan: Super awet
Kualitas: Body dan engsel kokoh
TWS ini bener2 value to performance banget. Suara jernih, ANC nya ada 3 mode, apalagi kalau hp sudah support LDAC, bakal keluar performa optimal TWS ini.

Sebagai penikmat headset kabel, saya tidak termasuk org yg perfectionis, suara jernih sudah cukup, bass bisa diatur, tapi soal delay, telinga saya sensitif. TWS ini, dgn mode LDAC nya, bener2 nekan delay sampai ke level minimum, hampir menyamai headset wired. Dan itu benar2 nilai plus buat saya. Maju terus baseus! 👌"
r*****n,"Fitur Terbaik: anc -50db terbaik
Sepadan dengan Harga: terbaik dpt diskon gede
Barang sampai dgn aman, packing rapi, fast respon, kiriman kilat...harga dpt murah pas banyak diskon, enak suaranya apalagi Hi-Res nya mantap, terimakasih baseus"
,"Kualitas Suara: Sangat baika
Daya Tahan: Tahan lama
Kualitas: Sangat memuaskan untuk harganya
Udah dicoba dan sangat puas.
Sayangnya saya tidak mengatur equalizer custom-nya lewat aplikasi, entah perangkat saya, device-nya tidak support, atau aplikasinya yang ngebug, entahlah.
Tapi masih bisa diatur dengan qualizer bawaan smartphone, jadi tidak begitu masalah."
m*****z,"Kualitas Suara: Bagus Bangetttttttt
Daya Tahan: sangat tahan lama, 12 jam
Kualitas: LDAC paling mantul
Sangat bagus, baru pertama kali ngerasain LDAC memang bagus bnget, sangat beda dengan SBC atau AAC... Dapet harga 255rb... Dan bisa multipoint connection"
a*****5,"Kualitas Suara: suara jernih dan bass nya mantul
Daya Tahan: mudah2an awet
Kualitas: sangat baik dengan harga yang cukup terjangkau udah banyak dapetin fitur2 canggih.
Sangat recommend banget, mantap."
r*****g,"Kualitas Suara: sangat jelas terdengar
Daya Tahan: belum bisa memastikan
Kualitas: jernih dan detail
Bagus sesuai pesanan, semoga awet di pakai, pesanan tidak ada yang kurang, cukup bagus"
,"Sepadan dengan Harga: sangat sepadan
Fitur Terbaik: kedap suara
pengemasan cepet bgt, udh pake baseus dari lama.. skrg beli lagi. kualitas twsnya oke, suaranya jernih dan ga delay pas main game dan Sudah support LDAC jadi kualitias suarnya lbh bagus dari  tws lainnya. thanks seller sukses selalu"
d*****h,"Kualitas Suara: bass bagus
Daya Tahan: tqhan lama
Kualitas: jernih
Bass sangat lebih dari cukup, karakter suara juga sangat jernih.. pokonya recommended deh ga akan nyesel beli ini.. 
Terimakasih seller dan untuk kurir🙏🏻"
t*****o,"Kualitas Suara: mantap bluetooth 6.0, Anc 50dsb, 6 mic enc
Daya Tahan: untuk tempat rumah casan tws terkesan material gampang rusak atau murahan. tapi tidak tahu untuk kedepannya terkait daya tahan tersebut
Kualitas: kualitas suara yang di kedua buds sangangat baik dan bagus, dengan dukungan seperti anc 50 dsb bukan gimmick, enc 6 mic sangat bisa diandalkan untuk presentasi, ip rating untuk olahraga, fitting di kuping sangat nyaman dan pas kalo di saya"
,"Kualitas Suara: suara bersih dan jernih
Daya Tahan: kualitas Baik
Kualitas: sangat Baik
Alhamdulillah paket sdh di termh dgn baik ,pengemasan baik bablewrap ,pengiriman cepat ,respon seller baik , recomanded amanah berfungsi dgn baik , semoga berkah , termh kash.,"
,"Kualitas Suara: Sangat bagus
Daya Tahan: Tahan banting
Fitur: Sangat bagus
Baseus emang ngga pernah gagaall, aku beli ini karena sebelumnya pake baseus encok WM01 dan udah 2 tahunan tapi ilang satu huhu, akhirnya nyari-nyari yang cocok, eh nemu baseus yang ini, pokoknya udah ngga ragu sama baseus akutuh tahan banting, suaranya jelass karena sdh ada 6 mic, trus kalo dipake telfon juga jelaas❤"
,"Kualitas Suara: jernih
Daya Tahan: sangat handal
Fitur: lengkap
Bakal jdi tws andalanku nih😎 tws bp 1 ini sudh 6.0 jadi stelah d buka langsung koneksi ke bluetooth, fitur² bnyak juga dan baterai nya tahan lama sudah support app pula pokoknya the best, next order lagi biar couple sma pasangan"
,"Kualitas Suara: bagus
Daya Tahan: good
Kualitas: jernih
Bagus banget ada fiture ANC nya berasa di ruang Hampa kedap suara banget cocok untuk Zoom Meet & Tlp di luar area.
Batrai Tahan lama, penggunaan simpel.. sangat Recomend"
,"Kualitas Suara: Suara jernih dan sangat bagus
Daya Tahan: tahan lama dan sangat bagus
Kualitas: tidak diragukan dan 100% rekomendasi
Barang sudah diterima dengan baik, paking aman tidak ada cacat sama sekali, dah beli bp1 pro aja, jangan beli yg lain 100% sangat rekomendasi. Terima kasih."
p*****e,"Kualitas Suara: mantap dan jernih
Daya Tahan: tahan lama
Kualitas: sangat bagus
Ini udh kedua kalinya beli baseus, emang sebagus itu sih suaranya
Tidak mengecewakan pokonya
Terima kasih"
r*****4,"Kualitas Suara: Suara cukup jernih dan bass nya cukup nendang
Daya Tahan: Lumayan awet
Kualitas: Cukup bagus untuk tws 200ribuan
Paket datang sesuai pesanan dalam kondisi baik dan utuh, mudah-mudahan awet dan tahan lama"
