user,text,sentiment
p*****_,"Kualitas Suara: jernih
Warna: elegan
Desain: lucu
AAA lucu banget tolong mau nangis😩❤️. buat kalian yang masih ragu co, pliss gausa ragu! buruan co! se worth it itu! tengkyu min",Positive
,"Kualitas Suara: bass bagus
Warna: warna sesuai
Desain: minimalis
Kotaknya masih kokoh gak peyok, pengiriman aman. Dari segi suara mungkin ini ya yg dimaksud bass nya bagus tuh kek backsound nya lebih kenceng dri suara utamanya. Klo di aku jdi harus kerasin volume biar kedengeran. Gak bikin sakit telinga, kecuali pemakaian lama jelas sakit. Trus dapet gift stiker lucuu",Positive
_*****n,"Kualitas Suara: sangat jernih dan bagus
Warna: sesuai
Desain: ok
nyesel knp gak beli ini dari dulu, suaranya oke bangett, bassnya ada tp ga berlebihan, suara jernih se jernihnya.. batrenya juga ga gampang abis, semoga awett",Positive
k*****y,"Kualitas Suara: sangat jelas dan gede
Warna: lucuu bgt pink, warna kesukaan akuu
tysm kaak.. baseus emang gapernah gagal kalo soal tws yang gemes gemes buat dibawa kemana mana juga ringan dan juga batrenya awet!💞💗",Positive
a*****8,"Kualitas Suara: jernih
Warna: elegan
Desain: bagus
Dapet stiker di dalam packaging. Guideline nya jelas. Ssuaraanya bagus. Dapet pas lg promo harga bnr2 cm 105rb thanks 🥹

Semoga awet dan tahan lama",Positive
a*****a,"Kualitas Suara: bagus
Warna: sesuai
Desain: keren
ga ekspek ternyata sebagus ini, bass nya mantep bgt terus design nya sederhana tapi kesannya elegan, warna nya lucu, pokoknya ga nyesel sih beli ini... terimakasih banyak ya baseus 💙🤍",Positive
d*****i,"Kualitas Suara: terdengar dengan jelas
Warna: menarik
Desain: sederhana but elegan
bagus untuk harga yang terjangkau. suara jernih dan dapat terdengar dengan jelas.
oke untuk kaum mendang mending kek aku gini.",Positive
k*****n,"Kualitas Suara: bagus
Warna: lucuuu
Desain: design paling cocok di aku yg gasuka tws karet
designnya paling cocok di aku krena mirip earphone jadul, yg no karet. soalnya kalo pake karet suka copot di kuping aku yg kesyilll mungiell, tar aku update after 1 bulan ya..",Positive
,"Kualitas Suara: bagus
Warna: pink
Desain: menarik dan kecil
Produk sangat bagus suara jernih dan batrenya awet bgt... ga nyesel beli ini dgn hrga yg murah kualitas bukan murahan. 👍👍👍👍",Positive
,"Kualitas Suara: sangat jernih dan nge bass
Warna: sangat bagus
Desain: sederhana namun elegan
Paket nya mendarat dengan aman, tidak 1 kurang apa pun, suara nya mantaapp, utk tlpan okee 👍 nyaman di pakai, tidak sakit di telinga, emg baseus top bangett dehh 🫰",Positive
d*****o,"Kualitas Suara: bass ok bgt, jernih
Warna: hitam pekat
Desain: kokoh, simple
Packing aman rapi
Sebelumnya punya warna biru yg tp ilang sebelah jadi ga bisa konek ya huhuhuu.. jadi hrs beli lagi deh, Nemu hitam yg ternyata design update 2025. Ada logo baseus nya di R & L 
Murah meriah ok kualitasnya
Makasih",Positive
a*****h,"Kualitas Suara: Mantap Bangett
Warna: Biru Muda
Desain: Simple & Cuteee
Bass nya nendang dan untuk telinga cewe yg kecil ini agak gede tapi masih masuk lah baguss dehh",Positive
p*****y,"Kualitas Suara: mantap top markotop
Warna: cantik unik menarik
Desain: lucu keren imut2 dan slim
Beli langsung 2 krna kmarin dpat harga flashsale. Beli 2 biar couplean sama pak suami. Headsetnya bagusnya, suaranya enak dan nge Bass. Cocok di telinga gak bikin sakit telinga. Nyaman. Warnanya jg macaron. Emang kalo baseus gak pernah gagal TWS'nya. Semoga awet yaa dan tahan lama",Positive
a*****a,"Buat kalian yg masih ragu buat co produk ini, pliss bgt kalian gausa ragu, earphone ini sesuai sama ekspektasi aku suaranya jernih bgtt, bass nya endul ga bikin telinga sakit samsekk , hp ku iphone xr dan ini cocok gaada kendala apapun, puass bgt pokonyaa 💕🩷",Positive
c*****u,"Kualitas Suara: mantap dan jermih
Kualitas: sangat bagus memuaskan
Keseluruhan: produk bagus memuaskan",Positive
,"Kualitas Suara: jernih full bass
Warna: pinkies lucu
Desain: simple
Desainnya simple tapi lucu, jujurly ini suaranya jernih bgt apalagi kalo full bass itu bnrn kaya lagi di club. Keren bgt inimah recomended bgt dengan harga segitu kualitas nya ga main""",Positive
p*****k,"Kualitas Suara: baguss
Warna: soft pink
Desain: lucuu
paket sampe dan diterima dengan baik pokoknya sukaa banget warna sesuai dan kualitasnya worth it to buy baterainya tahan lama tergantung intensitas pemakaiannya",Positive
f*****o,"Kualitas Suara: cukup oke di harganya
Kualitas: look nya keren
Keseluruhan: semoga awet yaa
dan semoga sesuai dengan claimnya tahan percikan percikan air. karena kemungkinan akan dibuat untuk aktivitas outdoor",Positive
,"Kualitas Suara: 👍🏼🖤🔥
Desain: 👍🏼🖤🔥
Kenyamanan: 👍🏼🖤🔥
UDAH LANGGANAN MERK BASEUS🖤 ,.. charger + headshet merk BASEUS🫵🏼😭",Negative
p*****a,"Kualitas Suara: oke
Warna: soft blue
Desain: simple
kedua kalinya beli tws baseus, emang dari harga sangat terjangkau dan kualitas mantap
di pakai sehari2 oke banget lah
makasih seller",Positive
r*****e,"Kualitas Suara: bass nya enak
Warna: cakep sih, soft pink
Desain: ya biasa aja
bagus buat harga segini, jelek engga bagus juga ya biasa aja. buat baterai awet sih kalo kata aku, soalnya aku bukan tipe yang tiap hari make earphone. buat bassnya juga enak",Positive
,"Kualitas Suara: jernih, bagus
Warna: biru
Desain: keren
Barang nya sudah sampai, pengiriman nya cepat. Barang2 nya sesuai dengan yang di order tidak ada yg kurang. TWS ini beneran kereeennn bangeettt suaranya jernih, ga bikin sakit kuping. Warna nya cute banget biru nya soft. Puas banget semoga awet ya TWS  ya. Thank you seller.....",Positive
s*****a,"Kualitas Suara: sangat jernih, bass sangat nendang
Warna: lucuu baby blue
Desain: simple muat di kantong
Bass gilaa keren, ketahanan mantep, dapet kabel charger type c dan stiker lucu gemezzz",Positive
,"Kualitas Suara: ngebass
Warna: LUCUUKK, aslinya lebih pastell coquette gitu 🤩
Desain: simple & cantikk
mhmm gampang sih ini settings & controlnya, mode on off-nya juga udah otomatis jadi ga ribett. worth untuk harga 135k an udah dapet tws selucuk dan segirly inii 🥰🩵",Positive
n*****1,"Kualitas produk sangat baik, Respon penjual sangat baik, 
Harga produk sangat baik, Pengemasan baik, 
Kecepatan pengiriman sangat baik, 
Semua nya baik... 👍👍👍

Bahkan orang jahat pun aslinya baik, hanya saja mungkin lingkungan dan kondisilah yang merubah mereka menjadi tidak baik. 

Kasih bintang 4 ya seller 🙏,,, karena kesempurnaan milik 
Allah SWT 🤲",Positive
l*****l,"Kualitas Suara: bass oke
bagus, suara juga mantapp apalagi bass nya bestt..
pengemasan kerenn, free sticker lucuu👌🤏",Positive
s*****1,"Kualitas Suara: jernih dan ngebass bgt
Warna: putih
Desain: keren
barang sudah sampai dan bagus banget 🥹🥹",Positive
,"Warna nya lucu banget, pink soft gtu.. suara nya juga jernih . mantap",Positive
f*****2,"Kualitas Suara: jernih
Warna: lucu dan soft
Desain: simple dan lucu
kualitas suaranya baik mudah disambungkan juga. suka banget sama bentuknya lucu gitu warna pinknya soft gitu lagi. nyaman ditelinga juga selama pemakaian. semoga awet",Positive
y*****r,"Overall bagus di tambah suaranya mantep banget apalagi bass nya beeeuuhhh mantap , cuma minus nya kenapa kalo di pake lama lama panas ya? Ada yg ngerasa sama juga ga sih? Atau punya gue doang?",Positive
,"Kualitas Suara: cukup jernih
Warna: pink
Pembelian kedua tws baseus, pertama beli yg warna item dan skrg beli yg pink. Aslii baguss warna pink nya ga norak. Barang udh di cek berfungsi dgn baik, sekarang bahannya lebih doff drpd yg pertama beli. Barang udh pasti ORI krn beli langsung di baseusnya. Mantapp beli pas lg 100k.",Positive
,"Kualitas Suara: jernih dan ngebass
Warna: lucu dan soft
tws yang cocok untuk dipakai sehari-hari, suaranya jernih dan batrenya awet banget plss. warnanya juga lucu dan compact jadi gak makan tempat. ini upgrade version jadi chargernya ada di samping 🩵",Positive
,"Kualitas Suara: bagus bgtt, bass nya bagus poll
Warna: lucuu, favorit akuu
Desain: keren
earphone inceran aku dari tahun lalu bgtt, akhirnya udh ditangan😍 keren bgt, nyaman ditelinga walau dipake lama dan batre awett, kualitas suaranya juga nampol bgttt",Positive
f*****1,"Kualitas Suara: bagus bangettt
Warna: warnanya baguss
Desain: gooddd pokonyaaa
Baseus bener bener ga ada obat bagus banget tws nya dijamin yang beli ga bakal nyesel udh gtu pemakaiannya bisa lama",Positive
x*****a,"Sepadan dengan Harga: sepadan dgn harga dan kualitas nya
Fitur Terbaik: suara nya jernih, batre nya awet banget
barang nya oke, pengemasan baik, pengiriman cepat. tws baseus bowie e16 batre nya awet tadi udh di coba dengerin lagu ± 3 jam, batre nya masih 100 %. untuk ngecas ± 30menit. pokoknya mantap deh👍🏻👍🏻. thanks seller👍🏻✨",Positive
,"Kualitas Suara: jernih
Warna: bagus lucu gitu soft pink
Desain: elegan dan pas aja
Worth it bgt si ini, untuk record suara juga udh lumayan jernih. Buat dengerin musik atau telfonan juga aman bgt. Baterai tahan lama pula",Positive
,"Kualitas Suara: bagus okelah gak terlalu nge bass
Warna: lucuuu
Desain: lucu kirain yg bakal tebel gtu ternyata agak pipih
Sengaja baru nilai, soalnya aku coba dlu, mantap pokoknya aweet bngt batrei nyaa ini udh ku pake 3 hari masih full 100 pdhl udh di pke semaleman😭😭😭knp baru beli baseus sekrng knp gk dari dlu²",Positive
,"Kualitas Suara: baguss
Desain: lucu
Kenyamanan: nyaman
Enak banget dipake, aku coba pake jilbab pun gak yang putus2 lagunya..",Positive
,"Suaranya bagus, nge bass juga jangan ragu untuk belii. Terus baterai nya awet bangett, pokoknya semua baguss dan sejauh ini masih aman2 aja, blm ada kurangnya",Positive
a*****_,"Kualitas Suara: mantap dan bas nya cakep
Kualitas: worth it
Keseluruhan: packaging aman
Harga terjangkau",Positive
i*****a,"Kualitas Suara: suara yang bagus
Warna: sangat bagus dan sesuai gambar
Desain: sangat menarik
Baterai awet saat digunakan suara jernih desain bagus warna sesuai tidak ngejreng rekomendasi banget untuk daily atau olahraga",Positive
n*****1,"pengiriman cepatt, barang datang tidak ada yang lecet, warna cutee, agak bingung di awal penggunaan terus di bantu mimin live nyaa baik bangett fast respon 🥰🥰",Positive
j*****a,"Fitur Terbaik: awet
Sepadan dengan Harga: suaranya jernih bgt
Ayo beli dijamin ngga bikin nyesek n yg jelas ngga bikin kantong kering karna udah murah dengan kualitas yang terbaik",Positive
,"Kualitas Suara: baik gk bikin sakit telinga
Okey bgt semua fiturnya berjalan dgn baik. Gk ada yg cacat good👍🏻🌟🤤",Positive
s*****s,"Kualitas Suara: mantap dan jernih
Kenyamanan: nyaman ga bikin sakit
Desain: LUCU BANGETT GEMESSS PINKEU
first try langsung bisa nyala dan aman semua, packaging super rapih dan tebel, pengiriman cepettt bangetttt 2harii, warna nya gemes, dapet buku panduan gitu, baru di pake baterai nya masih 100%, semogaa awettt😍😍😍😍",Positive
s*****9,"Kualitas Suara: besar dan jernih
Warna: hitam
Desain: terlihat keren dan modern
tws nya keren, suaranya juga jernih, dan mudah dibawa",Positive
i*****t,"Kualitas Suara: jernih
Desain: menarik
Kenyamanan: nyaman
Suka kalii sama barangnyaaa,  kualitas oke warnaaa nya jugaaa oke banget. Terimakasih banyak, sukses selalu 😍😍",Positive
,"Kualitas Suara: bagus
Warna: hitam
Desain: menarik dan simpel
Telat kasih ulasan krna langsng di pake ga nyesel buat harga segini dapat stiker lucukk",Positive
v*****y,"Kualitas Suara: suara memuaskan
Warna: warna produk sesuai dengan ekspektasi
Desain: lucu dan menarik
Harga segitu kualitas menurutku udah bagus banget, bass nya nendang, packing aman, seller fast respon, bahkan barang baru diterima pun langsung diberi arahan untuk penggunaannya.
Makasih seller",Positive
,"Kualitas Suara: suara kencang, bass jelas
Warna: warna kesukaan biruu, lucu
Desain: elegan dan menarik
Worth it bgt harganya sgini!! Packagingnya menarik, ga gambel samasekali, muluss, cakepp, elegan tampilannya, suaranya jg okee, mudah terhubung, smoga awet yaa, td dicoba di laptop oke jg sih, cuman gtau td agak disconnect di headset yg satunya lg, nnti mau dicoba lagi. Thanks!",Positive
a*****9,"Kualitas Suara: Besar dan jernih
Warna: Pink, sesuai deskripsi
Desain: Sederhana namun elegan
Maasyaa Allah tabarakallah… barang sampai dengan cepat dan kondisi aman… Warna sesuai deskripsi dan dikasih stiker2 juga💐 Suara jernih dan nyaman digunakan🌸🌸🌸",Positive
l*****5,"Kualitas Suara: jernih
Warna: bagus
Desain: bagus dan ramping
sumpah suaranya jernih banget dan nyaman juga kalau di pake untuk harga segini sih worth it yaa, ngecasnya jg cepet loh, mana ramping jd simpel klo mau d bawa kmn2 jd makin suka deh😚🫰🏻",Positive
d*****0,"Kualitas Suara: terbaik
Warna: menarik
Desain: keren
Baseus emang terbaik, aku udah beli 2 sebelumnya.. couple sm suami.. sekarang aku beli lagi karena yang punyaku hilang 1 jatoh entah dimana.. banyak rekomen seri ini, murah  suaranya bagus dan ternyata emang sebagus itu suaranya.. bass mantep dari yang punya ku lama.. trimi kisih baseus 🙏🏼✨
Fyp : baseus aku udah pernah kecelup air 2x dan alhamdulillah gak rusak.. apakah ini tahan air ? 😅",Positive
n*****z,"Kualitas Suara: bagus dan jernih
Warna: bagus
Desain: elegan
Paket nya sudah sampai kemarin. Mulai dari suara oke, bas nya jga bagus, desain nya mewah elegan gtu dan untuk ketahanannya oke bngt (coba mulai dri set 8 malem 100% sampe jam 10 batre earphone nya masih 70%. Mungkin habis nya sekitar jam 11 atau set 12) pokoknya bagus dehh. Makasih yaa next nyoba order lagi hehe",Positive
m*****5,"Kualitas Suara: jelas
Warna: sesuai
Desain: menarik
A so cuteeee😍 pinky gemecc lutcu. Matching sama ip ku😋 suaranya jelas dan jernih. Untuk bass nya lumayan enak didenger g petcah, semoga awett deh baru pake soalnya🙂‍↔️ 
Fyi kalo mau pake stiker biru nya dicopot dulu yages, kalo g dicopot ntar g kehub.

Makciii🫶",Positive
r*****_,"Guys kalian harus pesen disini, karena emg baguss kok headsetnya. Aku udh pake beberapa hari dan masih oke. Sellernya juga ramah ngejelasin. Warnya jg lucu, pengiriman cepat. Pokonya oke bangetdeh",Positive
,"Warna: sangat menarik dan lucu
Desain: elegan
Terimakasih banyaakkk kak barangnya sudah sampai☺😊 sudah coba memakai suaranya lancar,, warnanya cakep suka banget🥰 dapat stiker comelcomel pulak, semoga awet tws nya🫰",Positive
f*****g,"Kualitas Suara: bagus
Warna: lucu dan menarik
Desain: modern
Pesanan sesuai, pesanan sampai dengan aman, tidak ada kerusakan, dapat stiker, variasi warna banyak, kualitas suaranya sangat bagus. Terima kasih baseus 🤩",Positive
j*****8,"Kualitas Suara: cakep lah bass mantap, lancar jaya
Warna: lucu bbgttt, girly abiss, sesuai gambar
Desain: imut, kecil, ringan
Cakep deh soalnya lucu bgt, gampang dibawa kemana mana gara gara kecill. Warnanya lucu bener bener gemess. Bass okelah lancar ga pernah ada gangguan. Barang dteng juga aman, packaging nya oke bgt. Thanks a lot 🙌",Positive
,"Kualitas Suara: jernih
Warna: sesuai ekspektasi
Desain: lucu
Aku suka suaranya jernih banget, 
warnanya juga aku suka sesuai sama ekspektasi ku
Bentuknya juga nggak besar dia itu agak pipih jadi gampang di bawa ke mana mana",Positive
s*****9,"Kualitas Suara: JERNIH DAN NGEBASS
Warna: PINK
Desain: CUTE PACKAGE
Ga heran sih kalo penjualannya terlaris number one, karena emang kualitasnya sebagus itu, udah di coba suaranya jernih ngebas nya ga bikin berisik, nyaman di telinga, thats a cute package also, harga sepadan sama kualitasnya, reccomend to buy sih👍🏻💓",Positive
,"Kualitas Suara: very good
Warna: white, simple and looks good to me
Desain: design is very simple, i love simple design
the product arrived safely, and there’s no any damage in the product, after arrive i start to unboxing and it’s complete! like there’s a procedure, charger, a guide paper also. When i start to use, it is really good! i don’t feel any hurt for my hearing, the bass is also damn good. However when i use voice memos, my voice not audible clearly, i don’t know wether mic hole on my phone dusty nor this product isn’t focus on microphone. i’m afraid when i start to call, my voice doesn’t audible clearly, but so far it’s fine!",Negative
p*****1,"Kualitas Suara: bas yang memuaskan
Warna: sangat menarik dan lucu
Desain: lucu dan menarik
suka banget sama semuanya pengiriman nya cepat warna dari earphone nya desain nya pokoknya semuanya untuk harga segini sangat memuaskan buat ku",Positive
,"Kualitas Suara: jernih dan bagus
Warna: pink
Desain: cantik
Baseus Bowie E16 Upgrade Edition (2025) adalah pilihan TWS terjangkau namun feature‑rich dengan konektivitas modern, waktu pakai panjang, dan desain praktis. Cocok untuk pemakaian harian, olahraga ringan, atau pengguna yang butuh earbud handal dengan harga ramah kantong.",Positive
,"Kualitas Suara: belum dicoba
Warna: cantik sekaliii
Desain: classy
Cantik bangettt sesuai ekspektasi, makasih banyakk Baseus... Seneng juga kmaren co nya spesial waktu yg live SMASH wkwk, apalagi pas dipimpin mang Bisma.. aaa terimakasih untuk kesempatan yg baru terbayar dari ngidolain mereka di zaman SD dulu, jadi dpt kesempatan disebut nama dan dinyanyiin dong.. yaampun lucu iii.. 
Gimana kalau disebut Rasulullah nanti ya, semoga terhitung sebagai pengidola beliau juga yaarabb...",Positive
l*****1,"Kualitas Suara: bagus
Warna: lucu menarik
Desain: gemesh mungil enak dibawa kemana
baguss udah dua kali beli yang pertama warna hitam dimintaa adek makanya beli lagi warna putihnyaa, bestt batrai awettt dan enak dibawa kemana”",Positive
,"Kualitas Suara: microphone memiliki kualitas suara yang bagus
Warna: menarik dan ceria
Desain: terlihat keren dan modern
Seller responsif, barang sesuai deskripsi, pengiriman cepat, kualitas barang mantap, keren pokoknya, sukses terus.",Positive
y*****a,"Kualitas Suara: jernih
Warna: sangat cantik
Desain: gemas
aku suka denger lagu, tapi harus ngebass earphone ato headphone nya. kali ini nyoba merek ini, lumayan oke sih di telinga, gak bikin sakit. ngebass nya gak yang terlalu gimana gitu, masih nyaman didengar. lancar terus usahanya.",Positive
c*****s,"Kualitas Suara: lumayan
Warna: warnanya bagus baby pink
Desain: unik
Baseus nya oke menyala dengan baik,di isi daya sebentar saja 100% ,ada free sticker juga yg lucu2 bisa di tempelin ke baseus nya ,untuk pengiriman di packing dengan aman ,kurir juga oke",Positive
,"Kualitas Suara: jernih bagus nge bas
Warna: hitam
Desain: imut lucu
Alhamdulilah yg di tunggu 2 datang juga erphone nya bagus suara nya jernih bas nya mantap GK bikin sakit telinga GK bikin budeg juga seller ramah sempat deg degan cz GK nyambung nyambung ke hp nya tp di kasih panduan dari seller nya 
Makasih KA sukses terus buat usaha nya 🙏",Positive
,"Kualitas Suara: bagus
Warna: bagus
Desain: oke
Barang sudah sampai dengan selamat setelah di coba mantap suara ngebass nya terasa banget jadi kalau pakai semuanya pas liat film jadi terasa di dalam bioskop mantap dah
Batrai juga awet pokoknya gak nyesel beli ini trima kasih ya",Positive
c*****a,"Fitur Terbaik: baguss bangett ngebas ngereng bngt
Sepadan dengan Harga: wort it dengan kualitas yg bagus ini
bass nya gilakk bangett gacorr, warannya jg lucu, awet pula dipakai jam 7 pagi sampe malem pun masih ada batrai🥳",Positive
j*****5,"Kualitas Suara: jernih, bassnya enak
Warna: sesuai dengan deskripsi toko
Desain: simple dan menarik
Dapet rekomendasi dari temen, katanya baseus tuh cakep dan awet, jadinya aku mutusin buat co gak pake babibu. Finally dia datang dengan selamat, doain ya produknya awet ditanganku hehe",Positive
f*****i,"Kualitas Suara: mantapppppp, ngebass & jelas
Warna: hitam sesuai pesanan
Desain: nyaman di telinga
Cocok untuk kerja & musikan. Suara jg jelas & jangkauan <10m",Positive
,"Kualitas Suara: oke banget
Desain: slim
Kenyamanan: nyaman
kualitas suara bagus, desainnya oke banget apalagi ketahanan baterainya josss",Positive
d*****1,"Kualitas Suara: oke
Warna: cantikkkkkk
Desain: lucu
Udah sampai nih kak orderanku , packing aman , berfungsi dg baik sdh dicoba, desain dan warna very cuteeee sukaa bgt, apalgi kalo di kasi case nya , makasih seller 🥰",Positive
l*****s,"Kualitas Suara: bagus
Warna: biru cerah
Desain: simple dan mungil
Earphones type ini bagus dengan suara yang jernih dan bass yang cukup kencang, desain mungil tidak kebesaran dengan warna biru yang menarik",Positive
,"Kualitas Suara: NGEBASS BANGET BAGUSS KUALITAS MEWAHH
Desain: mantepp
Kenyamanan: sangat nyaman saat digunakan
Kalian wajib chekout ditoko sini gess, aman, amanah",Positive
n*****9,"Kualitas Suara: memiliki suara yang bagus dan jernih
Warna: sangat bagus dan sesuai pesanan
Desain: bagus dan kenarik
Pesenannya sampe nya cepet bgt, co kmrn besoknya lgsng dateng, sukakk bgt dehh warna nya sesuai, suaranya jernih, terimakasih basesus semoga amanah teruss🫰😻🤩",Positive
l*****s,"Sudah sampai
Packing mantull banget .. anti badaii... 
Produk sesuai 
Kualitas bagus, sudah dicoba 
Suara ok kanan kiri bekerja dengan baik 
Langsung terhubung ketika mau pakai 
Thx seller dan shopee..",Positive
n*****a,"Kualitas Suara: jernih
Warna: blue
Desain: minimalis dan elegan
Sangat bagus dan jernih suaranya. semuanya berfungsi dengan baik, dan warna birunya soft bagus. Boleh direkomendasikan untuk yang mau beli tws.",Positive
s*****i,"Kualitas Suara: sangat jelas walaupun volume kecil tapi bass nya ttp kerasa
Warna: soft pink lucuu
Desain: menarik
kualitas baik dengan harga segini udh worth it bgt, semoga awet",Positive
h*****4,"Kualitas Suara: bassnya sangat amat deep
Warna: looks really nice
Desain: mini and portable
The bass is so deep to the extent that the treble is not really heard😂",Positive
,"Kualitas Suara: oke bass jernih
Warna: sesuai keinginan
Desain: kokoh, bagus
untuk aku yg biasa pake headset yg ada silikonnya mgkn ngga bs pake lama lama, tp overall suara dan kejernihan oke banget untuk alternatif earbuds",Positive
h*****n,"Kualitas Suara: jernih & bagus
Warna: sesuai gambar
Desain: menarik
Awalnya yg dateng mati sebelah ,setelah chat admin gk smpai 3 hari produk penggantinya udh sampai dirumah ,admin nya ramah ,fast respon ,thankyouu yaaa ❤️❤️❤️",Positive
n*****5,"Kualitas Suara: cukup jelas
Warna: lucuuukkk bangett soft bluee gitu
Desain: cute simple
barangnya sampe tanpa lecet sih, pengiriman juga cukup cepet, lucuu banget barangnya mana dapet free gift stiker lucu juga, semoga barangnya awettt yaa di aku",Positive
,"Barang sampe dengan aman. Packingnya juga aman. Pengiriman xepet banget. Warna nya soft blue bagusss bangettttt sukaaaaa, udah dicoba ditelinga gak sakit. Tapi blm dicoba pemakaianya berapa lama tahan baterainya. Semoga awet deh yaa",Positive
r*****5,"Kualitas Suara: bagus
Warna: soft pink
Desain: sangat cantik dan mungil
Cute banget ini, warna nya juga soft pink. Ukuran nya juga mungil, bisa di bawa kemana-mana ini mah",Positive
,"Barang dalam keadaan baik, pengemasannya pun aman padahal tidak pake perlindungan elektronik dari fitur shopee tapi tetap aman tadi udh sempet video pas unboxing tapi malah gk ke upload. Kualitas suara juga bagus yang ini blm bisa dicari klo hilang yah semoga gk pernah ilang lah ya,, trus klo ada kendala aku bakalan update penilaian. Thank u seller",Positive
,"Kualitas Suara: ok bgt
Warna: LUCU
Desain: minimalis bgt sukaa
E GILA LUCU BGT SIIH MENURUT AK IMUTTT 😫👋 ccok buat daily wear anak kuliahan yg butuhnya buat verbatim sama dengerin lagu 🤭🤭🤭",Positive
,"Pembelian pertama kali di toko ini, barang real pic, bahan bagus,pengiriman sangat cepat, penjual quick respon, harga sangat terjangkau, toko juga sangat recomended.. Next order lagi di toko ini..",Positive
f*****a,"Kualitas Suara: bagus
Warna: lucu bgt warna pink comelll
Desain: cakep bgt
bagus banget suaranya jelas luv banget dehhh🥰pengin beli lagi jdinya hihi",Positive
,"Kualitas Suara: suara jernihh mantep powl
Warna: putih
Desain: menarikk
Dikemas dengan sangat baik, hasil suara juga jernih mantap polll. Desain menarik dan efisien, dj box nya juga terdaoat buku panduan dan stiker",Positive
n*****7,"Kualitas Suara: jernih
Warna: lucuu(pink)
Desain: menarik
Awal nya ga hidup langsung buru” cht adm ny eh langsung di bantu cara sambungin nya dan sekarang Aman dehh suara ny jg jernih suka😍😍❤️",Positive
m*****h,"Sepadan dengan Harga: Sepadan
Engga perlu diragukan lagi pakek produknya baseus, kualitas nampol sesuai harga 🥰 Suka bangett selalu nagih pengen beli tipe tws yang lain.",Positive
d*****3,"Kualitas Suara: bagus
Warna: sesuai pesanan
Desain: sesuai display
Sebelumnya udh pnya yg pink,, cuma g beli di official,, salahnya pas ada yg g beres g langsung diretur,, skrg beli lagi yg biru,, dan udh dicobain Alhamdulillah 👍 sesuai ekspektasi,, buat pengalaman aja kalo beli apa"" harus di officialnya",Positive
